custID,transactionType,amount,transactionAccount,date,description
423-56-7890,W,53.85,C,11/19/2011,Check Debit
423-56-7890,W,28.53,C,04/03/2012,Check Debit
423-56-7890,W,15.87,C,07/01/2013,Check Debit
423-56-7890,W,64.15,C,05/05/2015,Check Debit
423-56-7890,W,53.85,C,11/19/2011,Check Debit
423-56-7890,W,28.53,C,04/03/2012,Check Debit
423-56-7890,W,15.87,C,07/01/2013,Check Debit
423-56-7890,W,64.15,C,05/05/2015,Check Debit
345-81-2332,W,89.42,C,07/03/2003,Check Debit
345-81-2332,W,11.12,C,12/04/2006,Check Debit
345-81-2332,W,63.58,C,12/14/2013,Check Debit
345-81-2332,W,89.42,C,07/03/2003,Check Debit
345-81-2332,W,11.12,C,12/04/2006,Check Debit
345-81-2332,W,63.58,C,12/14/2013,Check Debit
345-81-2332,W,89.42,C,07/03/2003,Check Debit
345-81-2332,W,11.12,C,12/04/2006,Check Debit
345-81-2332,W,63.58,C,12/14/2013,Check Debit
345-87-9912,W,35.25,C,01/05/2003,Check Debit
345-87-9912,W,20.29,C,05/13/2007,Check Debit
345-87-9912,W,13.43,C,10/11/2014,Check Debit
345-87-9912,W,35.25,C,01/05/2003,Check Debit
345-87-9912,W,20.29,C,05/13/2007,Check Debit
345-87-9912,W,13.43,C,10/11/2014,Check Debit
345-87-9912,W,35.25,C,01/05/2003,Check Debit
345-87-9912,W,20.29,C,05/13/2007,Check Debit
345-87-9912,W,13.43,C,10/11/2014,Check Debit
423-16-8945,W,18.85,C,11/14/2011,Check Debit
423-16-8945,W,73.86,C,12/06/2011,Check Debit
423-16-8945,W,35.82,C,12/30/2011,Check Debit
423-16-8945,W,68.24,C,02/03/2012,Check Debit
423-16-8945,W,76.85,C,05/16/2015,Check Debit
423-16-8945,W,18.85,C,11/14/2011,Check Debit
423-16-8945,W,73.86,C,12/06/2011,Check Debit
423-16-8945,W,35.82,C,12/30/2011,Check Debit
423-16-8945,W,68.24,C,02/03/2012,Check Debit
423-16-8945,W,76.85,C,05/16/2015,Check Debit
423-16-8945,W,18.85,C,11/14/2011,Check Debit
423-16-8945,W,73.86,C,12/06/2011,Check Debit
423-16-8945,W,35.82,C,12/30/2011,Check Debit
423-16-8945,W,68.24,C,02/03/2012,Check Debit
423-16-8945,W,76.85,C,05/16/2015,Check Debit
235-44-5789,W,15.78,C,12/27/2002,Check Debit
235-44-5789,W,7.33,C,06/27/2003,Check Debit
235-44-5789,W,15.78,C,12/27/2002,Check Debit
235-44-5789,W,7.33,C,06/27/2003,Check Debit
235-44-5789,W,15.78,C,12/27/2002,Check Debit
235-44-5789,W,7.33,C,06/27/2003,Check Debit
436-78-9213,W,157.99,C,10/19/2019,Check Debit
436-78-9213,W,39.69,C,10/21/2019,Check Debit
436-78-9213,W,157.99,C,10/19/2019,Check Debit
436-78-9213,W,39.69,C,10/21/2019,Check Debit
436-78-9213,W,157.99,C,10/19/2019,Check Debit
436-78-9213,W,39.69,C,10/21/2019,Check Debit
233-43-5656,W,23.82,C,12/15/2016,Check Debit
233-43-5656,W,39.39,C,12/16/2016,Check Debit
233-43-5656,W,180.90,C,02/10/2017,Check Debit
233-43-5656,W,82.85,C,07/19/2017,Check Debit
233-43-5656,W,23.82,C,12/15/2016,Check Debit
233-43-5656,W,39.39,C,12/16/2016,Check Debit
233-43-5656,W,180.90,C,02/10/2017,Check Debit
233-43-5656,W,82.85,C,07/19/2017,Check Debit
233-43-5656,W,23.82,C,12/15/2016,Check Debit
233-43-5656,W,39.39,C,12/16/2016,Check Debit
233-43-5656,W,180.90,C,02/10/2017,Check Debit
233-43-5656,W,82.85,C,07/19/2017,Check Debit
345-67-9898,W,68.25,C,08/19/2019,Check Debit
345-67-9898,W,73.58,C,08/20/2019,Check Debit
345-67-9898,W,15.55,C,08/27/2019,Check Debit
345-67-9898,W,52.63,C,09/19/2019,Check Debit
345-67-9898,W,62.53,C,09/20/2019,Check Debit
345-67-9898,W,68.25,C,08/19/2019,Check Debit
345-67-9898,W,73.58,C,08/20/2019,Check Debit
345-67-9898,W,15.55,C,08/27/2019,Check Debit
345-67-9898,W,52.63,C,09/19/2019,Check Debit
345-67-9898,W,62.53,C,09/20/2019,Check Debit
345-67-9898,W,68.25,C,08/19/2019,Check Debit
345-67-9898,W,73.58,C,08/20/2019,Check Debit
345-67-9898,W,15.55,C,08/27/2019,Check Debit
345-67-9898,W,52.63,C,09/19/2019,Check Debit
345-67-9898,W,62.53,C,09/20/2019,Check Debit
111-11-1111,D,1847.35,C,12/01/2019,Deposit on Checking Account
111-11-1111,TW,154.08,C,12/01/2019,Transfer to Savings
111-11-1111,TD,154.08,S,12/01/2019,Transfer from Checking
111-11-1111,D,1875.39,S,12/01/2019,Deposit on Savings Account
111-11-1111,D,54.36,S,12/01/2019,Deposit on Savings Account
111-11-1111,D,11.27,C,12/01/2019,Deposit on Checking Account
111-11-1111,D,18.34,C,12/01/2019,Deposit on Checking Account
111-11-1111,W,125.21,C,12/01/2019,Atm Withdrawal
111-11-1111,D,1789.00,C,12/01/2019,Atm Deposit
111-11-1111,D,6745.37,C,12/01/2019,Atm Deposit
111-11-1111,W,1897.00,CCL,12/01/2019,new tv
111-11-1111,W,547.00,CCL,12/01/2019,sound system
111-11-1111,W,3478.54,CCL,12/01/2019,new couch
111-11-1111,W,387.24,CCL,12/01/2019,new phone
111-11-1111,W,3450.00,CCL,12/01/2019,truck
111-11-1111,D,4789.57,CCL,12/01/2019,Credit Card Payment
111-11-1111,D,3000.00,CCL,12/01/2019,Credit Card Payment
111-11-1111,D,178.00,CCL,12/01/2019,Credit Card Payment
111-11-1111,D,58.00,CCL,12/01/2019,Credit Card Payment
111-11-1111,D,387.00,CCL,12/01/2019,Credit Card Payment
111-11-1111,D,147.00,CCL,12/01/2019,Credit Card Payment
111-11-1111,D,777.54,CCL,12/01/2019,Credit Card Payment
